review,sentiment
I absolutely love this phone. Best purchase ever!,positive
"Battery life is great, but the camera is average.",neutral
Terrible experience. The phone stopped working in 2 weeks.,negative
Amazing camera quality and smooth performance.,positive
Not worth the price. I'm very disappointed.,negative
"Works well for basic tasks, but not for gaming.",neutral
Highly recommend this product to everyone.,positive
Worst phone I have ever used. Full of bugs.,negative
Customer service was helpful and quick.,positive
Poor build quality and terrible support.,negative
